Title,Location,Price,Description,Url,Latitude,Longitude
25 ton Yale manual chain hoist,"Arden, NC",4000.0,"25 ton double pull chain model; 30 feet of lift; Approximately 375 ft. of load chain.; Pull chains are 104 ft. long (hang 52 ft. below hoist) Used, Originally used to test stitching on lift straps; Not used enough to wear paint of chain tracks; Good functional condition Trade for something of equal value Call (828)Seven seven eight -6153",https://asheville.craigslist.org/bfs/d/25-ton-yale-manual-chain-hoist/6497335335.html,35.4637,-82.5354
Hose swaging machine / press Synflex Aeroquip,"Arden, NC",400.0,"Hose swaging machine / press 3/4"", 1/2"", 3/8"" & 1/4"" dies and pushers Call (828) Seven seven eight-6153",https://asheville.craigslist.org/bfs/d/hose-swaging-machine-press/6497336229.html,35.4637,-82.5354
"Greenlee 2"" conduit knockout punch (slugbuster)","Arden, NC",60.0,"Greenlee 2"" conduit knockout slugbuster punch with bolt & bearing 2 available; $60 each Open to reasonable offers Call or text (828)Seven seven eight-6153",https://asheville.craigslist.org/tls/d/greenlee-2-conduit-knockout/6503762478.html,35.4637,-82.5354
Hydraulic wire rope or cable cutter,"Arden, NC",150.0,Self contained hydraulic wire rope cutter Call or text (828)Seven seven eight-6153,https://asheville.craigslist.org/bfs/d/hydraulic-wire-rope-or-cable/6497328825.html,35.4637,-82.5354
Eldon large hinged door polycarbonate enclosure (cabinet),"Arden, NC",60.0,"Eldon hinged door enclosure, 31"" tall x 23 1/2"" wide x 11 3/4"" deep; polycarbonate; (plastic) never used a little dirty Call (828)Seven seven eight-6153",https://asheville.craigslist.org/for/d/eldon-large-hinged-door/6478430629.html,35.4637,-82.5354
"3/8"" galvanized wire rope (steel cable) nylon coated x 55 ft.","Arden, NC",40.0,"3/8"" galvanized wire rope x 55 feet long (nylon coated) $40 Call or text (828)Seven seven eight-6153",https://asheville.craigslist.org/for/d/3-8-galvanized-wire-rope/6503325156.html,35.4637,-82.5354
Practice amp & RC2 looper,"Waynesville, NC",100.0,Johnson Power 10 practice amp and Boss RC2 loop station. All cables included . Excellent condition.,https://asheville.craigslist.org/msg/d/practice-amp-rc2-looper/6512420301.html,35.637151,-83.092004
"Weatherhead coll-o-crimp 2"" hose assembly x 7 feet","Arden, NC",80.0,"Weatherhead H42532 2"" high pressure hose; Working pressure 1125 psi; 4500 burst pressure; with swivel ends; never used Call or text (828)Seven seven eight-6153",https://asheville.craigslist.org/tls/d/weatherhead-coll-crimp-2-hose/6503326501.html,35.4637,-82.5354
A whole bunch of climbing gear,"Asheville, NC",500.0,Lightly used gear. Selling because it never gets used and I'm moving. 11 different sized cams 15 different choks and nuts 2 jumars 3 pairs of climbing shoes around size 8 1 chalk bag 1 harness 5 caribeaners 1 climbing rope 2 climbing rope bags 1 duffle bag,https://asheville.craigslist.org/spo/d/whole-bunch-of-climbing-gear/6512420663.html,35.5808,-82.6078
Milwaukee bench pedestal grinder 1 hp 115 / 230Volts,"Arden, NC",150.0,"Milwaukee bench grinder; Model 5080; 115.230VAC; 12/6 amp; Looks rough, missing a few parts such as end cover for one of the grinding wheels and the shield covers. Parts are available for this grinder. Still functions just fine. A real workhorse industrial grade grinder. Call or text (828) Seven seven eight-6153",https://asheville.craigslist.org/tls/d/milwaukee-bench-pedestal/6485306972.html,35.4637,-82.5354
Powernailer Model 145L for hardwod floor installation,"Arden, NC",50.0,Powernail Co. 145L powernailer for installation of hardwood floors Call or text (828)Seven seven eight -6153,https://asheville.craigslist.org/tls/d/powernailer-model-145l-for/6478460135.html,35.4637,-82.5354
2001 GMC SAVANA 1500 VAN,"Canton, NC",6500.0,"VEHICLE IS A 2ND OWNER, WELL MAINTAINED, REAR BUCKETS WITH THIRD ROW BENCH SEAT. FRONT AND REAR A/C THAT IS COLD. NEW AMERICAN RACING WHEELS AND YOKOHAMA TIRES, LESS THAN 200 MILES ON THEM. NAVIGATION, BLUETOOTH, SIRIUS XM, AM/FM/CD, 8 TRACK TAPE PLAYER WITH REAR SCREEN. HAS BEEN INVOLVED IN TWO MINOR ACCIDENTS WITH VERY LTTLE DAMAGE, LEFT FRONT FENDER AND BUMPER AND REAR BUMPER COVER HAS BEEN HIT AND FIXED. NO FRAME DAMAGE HAS 184,000 MILES ON IT USES NO OIL. THE PERFECT FAMILY VAN.",https://asheville.craigslist.org/cto/d/2001-gmc-savana-1500-van/6512420826.html,35.435753,-82.861153
Greenlee 1804 ratcheting knockout puller varios knockout cutters,"Arden, NC",300.0,"Greenlee 1804 knockout set with two each of the knockouts from 1/2"" thru 2"". These re not the slugbuster style knockouts. Rust on knockouts and handles of ratchet but all are in good functional condition. Open to reasonable offers Call or text (828)Seven seven eight-6153",https://asheville.craigslist.org/tls/d/greenlee-1804-ratcheting/6488076831.html,35.4637,-82.5354
"New Enclosed Cargo Trailers, In-Stock, Many Sizes and Models","Inman, SC",14562.0,"Many different models and sizes of New Enclosed Cargo Trailers In-Stock: ***Please call to check availability as this list is not updated daily*** Some of these Sizes Include: 6x12 Single Axle - $2195 6x12 Tandem Axle - $2995 7x12 Tandem Axle - $3295 7x14 Tandem - $3495 7x16 Tandem - $3595 8.5x16 - $4395 8.5x20 5,200 lb axles - $5295 www.carolinatrailersupply.com for individiual prices, pictures and stock status We can get you into the trailer you need whether you are looking for a basic well built Enclosed Trailer, or you want a fully loaded trailer with LED lights, extra height. Credit Cards 3% Fee (Does Not Apply to Debit Cards)",https://asheville.craigslist.org/trb/d/new-enclosed-cargo-trailers/6512427445.html,35.4637,-82.5354
"(2) garage door springs 18"" & 36""","Arden, NC",15.0,"Two springs for garage door 18"" ($15) 36"" ($25) (24"" spring sold) Call or text (828) Seven seven eight -6153",https://asheville.craigslist.org/for/d/2-garage-door-springs-18-36/6503325576.html,35.4637,-82.5354
"38 feet of 3/4"" Apollo Pex tubing","Arden, NC",20.0,"38 feet of 3/4"" Pex tubing $20 Make reasonable offer Call or text (828) Seven seven eight-6153",https://asheville.craigslist.org/mat/d/38-feet-of-3-4-apollo-pex/6497366664.html,35.4637,-82.5354
L & R watch cleaning machine,"Arden, NC",40.0,"L & R watch cleaning machine, non-functional, for clean up or repair Call or text (828)Seven seven eight -6153",https://asheville.craigslist.org/atq/d/watch-cleaning-machine/6497355968.html,35.4637,-82.5354
"3"" Hammond flanged cast iron gate valve","Arden, NC",80.0,"Description Hammond iron body gate valve, 3"" 125lb flanged, OS&Y (outside screw & yoke), 125lb steam at 450 degrees fahrenheit, 200lb water, oil or gas, bolted bonnet, bronze trim, and solid wedge. Manufacturer Hammond Model HE1690 Call (828)Seven seven eight -6153",https://asheville.craigslist.org/mat/d/3-hammond-flanged-cast-iron/6503326122.html,35.4637,-82.5354
"1"" bronze swing check valve","Arden, NC",15.0,"1"" npt bronze swing check valve $15 each (2 available) Never used!!! Call or text (828) Seven seven eight-6153",https://asheville.craigslist.org/mat/d/1-bronze-swing-check-valve/6478439035.html,35.4637,-82.5354
"Sioux 3/4"" heavy duty electric drill","Arden, NC",100.0,"Sioux 3/4"" chuck heavy duty electric drill; This drill weights 25 lbs. Works good and drill chuck is in good condition.(no chuck key); Name plate is missing so I don't know exact model number. Call or text (828) Seven seven eight-6153",https://asheville.craigslist.org/tls/d/sioux-3-4-heavy-duty-electric/6485282252.html,35.4637,-82.5354
Speedaire compressor /dryer set up (very nice),"Arden, NC",800.0,5UZ84 speedaire compressed air dryer; 2 HP Dayton electric motor; 3JR84 Speedaire compressor; automatic drain valve; compressed air tank. All set up on 80/20 structural frame; Never used: Excellent condition. Over $1500 in components alone with no consideration for labor and material to put this package together. 5 cfm capacity; nice set up for spray booth. Call or text (828)Seven seven eight-6153,https://asheville.craigslist.org/bfs/d/speedaire-compressor-dryer/6485280067.html,35.4637,-82.5354
Honda Kick-N-Go scooter (collector),"Arden, NC",60.0,"Honda ""Kick-N-Go"" scooter; Collectable item from the 60's. $60 Call (828)Seven seven eight-6153",https://asheville.craigslist.org/for/d/honda-kick-go-scooter/6478425212.html,35.4637,-82.5354
